Town,Address,Sale Price,Sale Date
WESTCHESTER,2412 FRISBY AVENUE,640000,10/9/19
BEDFORD PARK/NORWOOD,3228 RESERVOIR OVAL EAST,640000,10/10/19
BEDFORD PARK/NORWOOD,"3279 HULL AVENUE, 11",80000,10/10/19
BRONXDALE,2961 MORGAN AVE,465000,10/10/19
BRONXDALE,"829 ADEE AVENUE, 3I",92783,10/10/19
CITY ISLAND,179 HAWKINS STREET,160000,10/10/19
HIGHBRIDGE/MORRIS HEIGHTS,1033 SUMMIT AVE,475000,10/10/19
MORRIS PARK/VAN NEST,1927 WILLIAMSBRIDGE ROAD,625000,10/10/19
MORRIS PARK/VAN NEST,1713 TENBROECK AVENUE,1050000,10/10/19
MORRISANIA/LONGWOOD,1145 WEST FARMS ROAD,10,10/10/19
MORRISANIA/LONGWOOD,1210 VYSE AVENUE,150000,10/10/19
MOUNT HOPE/MOUNT EDEN,235 EAST 175 STREET,625000,10/10/19
PARKCHESTER,"1500 ARCHER ROAD, ME",234000,10/10/19
PARKCHESTER,"2120 EAST TREMONT AVENUE, 1B",268710,10/10/19
PARKCHESTER,"2100 EAST TREMONT AVE, 7B",160000,10/10/19
RIVERDALE,"6535 BROADWAY, 6G",160000,10/10/19
RIVERDALE,"3777 INDEPENDENCE AVENUE, 3M",523546,10/10/19
RIVERDALE,"5700 ARLINGTON AVENUE, 15L",315000,10/10/19
THROGS NECK,3115 HARDING AVENUE,715000,10/10/19
THROGS NECK,"2716 SCHURZ AVENUE, B-4",485000,10/10/19
WILLIAMSBRIDGE,3553 CARLISLE PLACE,500000,10/10/19
WILLIAMSBRIDGE,3531 WHITE PLAINS ROAD,10,10/10/19
BATHGATE,510 EAST 180 STREET,2000000,10/11/19
BAYCHESTER,1175 EAST 223 STREET,385000,10/11/19
BAYCHESTER,3243 KINGSLAND AVENUE,525000,10/11/19
BEDFORD PARK/NORWOOD,3162 VILLA AVENUE,958554,10/11/19
BEDFORD PARK/NORWOOD,3164 VILLA AVENUE,958554,10/11/19
BEDFORD PARK/NORWOOD,3166 VILLA AVENUE,958554,10/11/19
BEDFORD PARK/NORWOOD,3160 VILLA AVENUE,958554,10/11/19
BRONXDALE,2744 BOUCK,220000,10/11/19
BRONXDALE,3008 OLINVILLE AVENUE,320000,10/11/19
BRONXDALE,N/A STEDMAN PLACE,220000,10/11/19
BRONXDALE,"2385 BARKER AVENUE, 4N",152100,10/11/19
HIGHBRIDGE/MORRIS HEIGHTS,"1045 ANDERSON AVE, 6C",150000,10/11/19
KINGSBRIDGE/JEROME PARK,"3636 GREYSTONE AVENUE, 6J",480000,10/11/19
MELROSE/CONCOURSE,"1100 GRAND CONCOURSE, 2J",150000,10/11/19
MORRISANIA/LONGWOOD,719 BECK STREET,1150000,10/11/19
MOTT HAVEN/PORT MORRIS,325 BEEKMAN AVENUE,499000,10/11/19
PARKCHESTER,631 MEAD STREET,505000,10/11/19
PARKCHESTER,"1510 ARCHER ROAD, 1A",185000,10/11/19
PARKCHESTER,"1936 EAST TREMONT AVENUE, 4E",195000,10/11/19
PELHAM GARDENS,2551 MICKLE AVE,555000,10/11/19
RIVERDALE,"3850 HUDSON MANOR TERRACE, EE",157500,10/11/19
SCHUYLERVILLE/PELHAM BAY,1449 GILLESPIE AVENUE,670000,10/11/19
SCHUYLERVILLE/PELHAM BAY,3016 ZULETTE AVENUE,810000,10/11/19
SOUNDVIEW,1325 THIERIOT AVENUE,785000,10/11/19
THROGS NECK,302 PENNYFIELD AVENUE,560000,10/11/19
WAKEFIELD,1925 EDENWALD AVENUE,480000,10/11/19
WAKEFIELD,4380 EDSON AVE,680000,10/11/19
WAKEFIELD,4116 DE REIMER AVENUE,565000,10/11/19
BEDFORD PARK/NORWOOD,322 EAST 201 STREET,1111392,10/12/19
BAYCHESTER,3464 EASTCHESTER ROAD,699000,10/15/19
BEDFORD PARK/NORWOOD,"333-35 EAST 209TH STREET, 1",25857,10/15/19
BELMONT,2480 BELMONT AVENUE,4300000,10/15/19
BRONXDALE,3233 HONE AVENUE,440000,10/15/19
COUNTRY CLUB,"1490 OUTLOOK AVENUE, N4",455000,10/15/19
EAST TREMONT,"947 EAST 178TH STREET, A",110000,10/15/19
MORRIS PARK/VAN NEST,1814 BRONXDALE AVENUE,320000,10/15/19
PARKCHESTER,"1949 MCGRAW AVENUE, 4D",198500,10/15/19
PELHAM PARKWAY NORTH,1230 MACE AVENUE,663000,10/15/19
RIVERDALE,5625 MOSHOLU AVENUE,695000,10/15/19
RIVERDALE,"5700 ARLINGTON AVENUE, 15H",415000,10/15/19
RIVERDALE,"2287 JOHNSON AVENUE, 17H",485000,10/15/19
RIVERDALE,"4483 DOUGLAS AVENUE, TH17",1600000,10/15/19
RIVERDALE,"2287 JOHNSON AVENUE, 4",485000,10/15/19
SCHUYLERVILLE/PELHAM BAY,3398 EAST TREMONT AVENUE,400000,10/15/19
SOUNDVIEW,737 COMMONWEALTH AVENUE,60000,10/15/19
THROGS NECK,237 BUTTRICK AVENUE,1018703,10/15/19
WAKEFIELD,4521 SETON AVENUE,1000,10/15/19
WAKEFIELD,4346 BAYCHESTER AVENUE,840000,10/15/19
