NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
FLATBUSH-CENTRAL,76 LINDEN BOULEVARD,875000,2/19/20
FLATBUSH-CENTRAL,2671 BEDFORD AVE,760000,2/19/20
FLATBUSH-CENTRAL,"415 ARGYLE ROAD, 2E",440000,2/19/20
FLATBUSH-CENTRAL,"15 EAST 19TH STREET, 5D",805000,2/19/20
FLATBUSH-EAST,3401 FARRAGUT ROAD,500000,2/19/20
FLATBUSH-EAST,4503 CLARENDON ROAD,410000,2/19/20
FLATBUSH-NORTH,538 EAST NEW YORK AVE,831000,2/19/20
FLATBUSH-NORTH,"651 NEW YORK AVENUE, 508",530000,2/19/20
FLATBUSH-NORTH,"651 NEW YORK AVENUE, G",530000,2/19/20
FLATLANDS,5601 AVENUE J,304000,2/19/20
FLATLANDS,1091 EAST 59TH STREET,805000,2/19/20
FORT GREENE,"75 GREENE AVENUE, 2A",1350000,2/19/20
FORT GREENE,"75 GREENE AVENUE, STORA",1350000,2/19/20
GREENPOINT,574 LEONARD STREET,2290000,2/19/20
GREENPOINT,"118 GREENPOINT AVENUE, 3E",1200000,2/19/20
GREENPOINT,"189 GREENPOINT AVENUE, 4A",1195000,2/19/20
MADISON,1946 EAST 28TH STREET,760000,2/19/20
OCEAN PARKWAY-SOUTH,"2547 WEST 2ND STREET, 2F",245000,2/19/20
PARK SLOPE,"353 3 STREET, B-3B",1050000,2/19/20
PARK SLOPE,"910 UNION STREET, 5B",2100000,2/19/20
RED HOOK,76 SULLIVAN STREET,2625000,2/19/20
RED HOOK,"362 VAN BRUNT STREET, C2",521564,2/19/20
SHEEPSHEAD BAY,"3655 SHORE PARKWAY, 1F",205000,2/19/20
SUNSET PARK,"420 64TH STREET, 5A",543000,2/19/20
WINDSOR TERRACE,294 WINDSOR PLACE,2650000,2/19/20
WINDSOR TERRACE,"176 SEELEY STREET, 1B",910000,2/19/20
BAY RIDGE,"6902 NARROWS AVENUE, 3B",525000,2/20/20
BEDFORD STUYVESANT,"373 CLASSON AVENUE, 3",782072,2/20/20
BENSONHURST,1636 72ND STREET,732000,2/20/20
BOERUM HILL,131 SMITH STREET,5550000,2/20/20
BOROUGH PARK,"826 43RD STREET, 7",575000,2/20/20
BOROUGH PARK,"1245 42ND STREET, 3",720000,2/20/20
BRIGHTON BEACH,39A BRIGHTON 10TH COURT,1000,2/20/20
BROOKLYN HEIGHTS,"24 MONROE PLACE, 2D",1355000,2/20/20
BUSH TERMINAL,5002 2ND AVENUE,48786000,2/20/20
CANARSIE,1124 EAST 99TH STREET,600000,2/20/20
CANARSIE,"8602 AVENUE L, 802",337749,2/20/20
CLINTON HILL,"443 CLINTON AVENUE, 1N",980000,2/20/20
CROWN HEIGHTS,115 ROGERS AVENUE,2140000,2/20/20
CROWN HEIGHTS,"12 CROWN STREET, B11",765000,2/20/20
CROWN HEIGHTS,"1431 BEDFORD AVENUE, 2A",775000,2/20/20
CROWN HEIGHTS,"834 STERLING PLACE, PS22",45000,2/20/20
CYPRESS HILLS,145 FORCE TUBE,770000,2/20/20
DOWNTOWN-METROTECH,"306 GOLD STREET, 40F",2150000,2/20/20
DYKER HEIGHTS,1170 82ND STREET,1400000,2/20/20
DYKER HEIGHTS,1350 85TH STREET,1210000,2/20/20
EAST NEW YORK,986 CLEVELAND STREET,560000,2/20/20
EAST NEW YORK,2023 LINDEN BOULEVARD,837000,2/20/20
EAST NEW YORK,N/A COZINE AVENUE,490000,2/20/20
EAST NEW YORK,N/A COZINE AVENUE,490000,2/20/20
EAST NEW YORK,N/A COZINE AVENUE,490000,2/20/20
FLATBUSH-CENTRAL,"25 PARADE PLACE, 5H",392500,2/20/20
FLATBUSH-EAST,202 EAST 35TH STREET,40000,2/20/20
FLATBUSH-NORTH,160 EAST 96TH STREET,767000,2/20/20
FLATBUSH-NORTH,"734 LEFFERTS AVENUE, 4B",918000,2/20/20
FLATBUSH-NORTH,"502A MAPLE STREET, 1",717250,2/20/20
GRAVESEND,1617 WEST 7 STREET,825000,2/20/20
MADISON,1601 AVENUE U,4970000,2/20/20
MARINE PARK,1632 EAST 32ND STREET,820000,2/20/20
MIDWOOD,1529 EAST 12TH STREET,1960000,2/20/20
MILL BASIN,17 MONTANA PLACE,910000,2/20/20
OCEAN HILL,535 BAINBRIDGE STREET,1575000,2/20/20
OCEAN PARKWAY-NORTH,676 EAST 7TH STREET,1187000,2/20/20
OCEAN PARKWAY-NORTH,773 EAST 5TH STREET,1400000,2/20/20
OCEAN PARKWAY-NORTH,"260 OCEAN PARKWAY, 1H",311020,2/20/20
OCEAN PARKWAY-NORTH,"855 EAST 7 STREET, 6N",220000,2/20/20
OCEAN PARKWAY-NORTH,"824 EAST 9 STREET, 6E",155000,2/20/20
PARK SLOPE,"726 SACKETT STREET, 3LT",680000,2/20/20
SHEEPSHEAD BAY,1414 AVENUE Y,600000,2/20/20
SHEEPSHEAD BAY,"2573 EAST 14TH STREET, C1",840000,2/20/20
SHEEPSHEAD BAY,"2573 EAST 14TH STREET, C2",840000,2/20/20
SUNSET PARK,726 54TH STREET,980000,2/20/20
SUNSET PARK,"729 40TH STREET, 4C",398000,2/20/20
WILLIAMSBURG-EAST,"31 CONSELYEA STREET, 2F",645000,2/20/20
WILLIAMSBURG-NORTH,"2 NORTHSIDE PIERS, 5T",836625,2/20/20
WILLIAMSBURG-SOUTH,"374-76 SOUTH 2ND STREET, 8",100000,2/20/20
WYCKOFF HEIGHTS,184 ST NICHOLAS AVENUE,900000,2/20/20
WYCKOFF HEIGHTS,"358 GROVE STREET, 4B",485000,2/20/20
WYCKOFF HEIGHTS,"358 GROVE STREET, CB10",485000,2/20/20
BATH BEACH,266 BAY 13TH STREET,928000,2/21/20
BATH BEACH,"8707 19TH AVENUE, 2B",717866,2/21/20
BATH BEACH,"8707 19TH AVENUE, P14",717866,2/21/20
BAY RIDGE,526 92ND STREET,740000,2/21/20
BAY RIDGE,"8502 FORT HAMILTON PARKWAY, 2E",317500,2/21/20
BAY RIDGE,"9040 FORT HAMILTON PARKWAY, 2B",285000,2/21/20
BENSONHURST,1720 BAY RIDGE AVENUE,700000,2/21/20
BRIGHTON BEACH,3038 BRIGHTON 8 STREET,620000,2/21/20
BRIGHTON BEACH,"102 WEST END AVENUE, 5C",946000,2/21/20
BRIGHTON BEACH,"102 WEST END AVENUE, PS26",946000,2/21/20
BROOKLYN HEIGHTS,"65 MIDDAGH STREET, 1B",945000,2/21/20
BUSHWICK,41 STANWIX ST,1575000,2/21/20
BUSHWICK,"1129 HALSEY ST, 4F",489000,2/21/20
CANARSIE,1218 EAST 87TH STREET,710000,2/21/20
CANARSIE,11 ROSE STREET,400000,2/21/20
CLINTON HILL,110 HALL STREET,1015000,2/21/20
CYPRESS HILLS,140 HALE AVENUE,811000,2/21/20
CYPRESS HILLS,166 AUTUMN AVENUE,901500,2/21/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 3J",670000,2/21/20
DOWNTOWN-FULTON MALL,"319 SCHERMERHORN STREET, 6D",1199000,2/21/20
EAST NEW YORK,245 VERMONT STREET,868000,2/21/20
EAST NEW YORK,790 NEW JERSEY AVENUE,790000,2/21/20
FLATBUSH-CENTRAL,"221 EAST 18TH STREET, 3K",455000,2/21/20
FLATBUSH-EAST,319 EAST 32ND STREET,495000,2/21/20
FLATBUSH-EAST,586 EAST 42ND STREET,669000,2/21/20
FLATBUSH-EAST,"3420 AVENUE H, 5E",130000,2/21/20
FLATBUSH-LEFFERTS GARDEN,277 WINTHROP STREET,920000,2/21/20
FLATLANDS,1078 EAST 56TH ST,650000,2/21/20
FLATLANDS,"1270 EAST 51ST STREET, 4Z",110000,2/21/20
FLATLANDS,"1199 EAST 53RD STREET, 7U",235000,2/21/20
FORT GREENE,"1 HANSON PLACE, 11C",1100000,2/21/20
GERRITSEN BEACH,2481 GERRITSEN AVENUE,500000,2/21/20
GRAVESEND,"102 BAY 31 STREET, 3B",667000,2/21/20
GRAVESEND,"2546 STILLWELL AVENUE, 2B",382500,2/21/20
GRAVESEND,"1642 WEST 9TH STREET, MD1",1200000,2/21/20
GRAVESEND,"1642 WEST 9TH STREET, P9",1200000,2/21/20
MADISON,"2331 OCEAN AVENUE, 6B",265000,2/21/20
MIDWOOD,862 EAST 15TH STREET,950000,2/21/20
OCEAN PARKWAY-NORTH,1011 EAST 3RD STREET,3150000,2/21/20
OCEAN PARKWAY-SOUTH,2425 MCDONALD AVENUE,4500000,2/21/20
PARK SLOPE,"530 1ST STREET, 1",1495000,2/21/20
PARK SLOPE,"209 LINCOLN PLACE, 2B",979000,2/21/20
PARK SLOPE SOUTH,469A 18TH STREET,1425000,2/21/20
PARK SLOPE SOUTH,213 14TH STREET,1550000,2/21/20
PROSPECT HEIGHTS,"651 VANDERBILT AVE, 3Z",865000,2/21/20
PROSPECT HEIGHTS,"41 EASTERN PARKWAY, 4A",1975000,2/21/20
SHEEPSHEAD BAY,2144 EAST 29TH,855000,2/21/20
SPRING CREEK,417 SCHROEDERS AVENUE,547180,2/21/20
SPRING CREEK,420 SCHROEDERS AVENUE,641431,2/21/20
SPRING CREEK,424 SCHROEDERS AVENUE,691631,2/21/20
SPRING CREEK,462 SCHROEDERS AVENUE,641431,2/21/20
WILLIAMSBURG-NORTH,45 AINSLIE STREET,11000000,2/21/20
WINDSOR TERRACE,204 TERRACE PLACE,10,2/21/20
WYCKOFF HEIGHTS,1013 HART STREET,980000,2/21/20
BAY RIDGE,651 78TH STREET,1200000,2/24/20
BAY RIDGE,132 68 ST,1020000,2/24/20
BAY RIDGE,"318 101ST STREET, 40A",184000,2/24/20
BEDFORD STUYVESANT,519 LAFAYETTE AVENUE,850000,2/24/20
BOERUM HILL,82 4 AVENUE,2775500,2/24/20
BOERUM HILL,"559 WARREN STREET, 1L",901000,2/24/20
BOROUGH PARK,"1367 51ST STREET, 1",600000,2/24/20
BOROUGH PARK,"949 60TH STREET, 3A",501930,2/24/20
BRIGHTON BEACH,"50 BRIGHTON FIRST ROAD, 9G",340000,2/24/20
BRIGHTON BEACH,"125 OCEANA DRIVE EAST, 4D",995000,2/24/20
BRIGHTON BEACH,"200 CORBIN PLACE, 3M",270000,2/24/20
BROOKLYN HEIGHTS,"245 HENRY STREET, 3A",670000,2/24/20
BROWNSVILLE,133 DUMONT,225000,2/24/20
BUSHWICK,137 LINDEN STREET,925000,2/24/20
CANARSIE,628 EAST 88TH STREET,595000,2/24/20
CARROLL GARDENS,"529 COURT STREET, PH2",1505000,2/24/20
CLINTON HILL,"545 WASHINGTON AVENUE, 605",1150000,2/24/20
CONEY ISLAND,"464 NEPTUNE AVENUE, 17H",330000,2/24/20
CROWN HEIGHTS,1366 PACIFIC STREET,1225000,2/24/20
CYPRESS HILLS,160 ELDERT LN,610000,2/24/20
DOWNTOWN-FULTON FERRY,"205 WATER STREET, P37",62622,2/24/20
DOWNTOWN-FULTON MALL,"189 SCHERMERHORN STREET, 19E",1715000,2/24/20
DYKER HEIGHTS,1257 BAY RIDGE AVENUE,1250000,2/24/20
EAST NEW YORK,423 NEWPORT ST,880000,2/24/20
EAST NEW YORK,516 CLEVELAND STREET,10,2/24/20
FLATBUSH-NORTH,662 MAPLE ST,910000,2/24/20
GERRITSEN BEACH,21 MELBA COURT,600000,2/24/20
GERRITSEN BEACH,39 CANTON COURT,595000,2/24/20
GOWANUS,"488 4TH AVE, 4",1400000,2/24/20
GOWANUS,"488 4 AVENUE, 8",1525000,2/24/20
MADISON,"2120 OCEAN AVE, 7C",370000,2/24/20
MANHATTAN BEACH,172 PEMBROKE STREET,1330000,2/24/20
MIDWOOD,1914 AVENUE N,1200000,2/24/20
OCEAN HILL,744 DECATUR STREET,1485000,2/24/20
OCEAN HILL,"338 CHAUNCEY STREET, 1A",830000,2/24/20
OLD MILL BASIN,1655 EAST 51ST STREET,417000,2/24/20
PARK SLOPE,"35 SAINT JOHN'S PLACE, 4D",55000,2/24/20
PARK SLOPE,"420 6TH AVENUE, 2",440000,2/24/20
PARK SLOPE,"420 SIXTH AVENUE, 8",135000,2/24/20
PARK SLOPE,"411 15TH ST, B",735000,2/24/20
PROSPECT HEIGHTS,688 DEAN STREET,2550000,2/24/20
SHEEPSHEAD BAY,2725 BATCHELDER STREET,684570,2/24/20
WILLIAMSBURG-CENTRAL,"89 WALLABOUT STREET, 6",480000,2/24/20
WILLIAMSBURG-EAST,"289 DEVOE ST, 2R",690000,2/24/20
WILLIAMSBURG-SOUTH,89 SOUTH 4TH STREET,2315000,2/24/20
BATH BEACH,338 BAY 10TH STREET,990000,2/25/20
BAY RIDGE,229 OVINGTON AVENUE,825000,2/25/20
BAY RIDGE,7917 5 AVENUE,2000000,2/25/20
BEDFORD STUYVESANT,228 LEXINGTON AVENUE,2432250,2/25/20
BEDFORD STUYVESANT,952 BEDFORD AVENUE,2670000,2/25/20
BEDFORD STUYVESANT,"813 JEFFERSON AVENUE, 1B",768789,2/25/20
BEDFORD STUYVESANT,"377 QUINCY STREET, 3",804418,2/25/20
BENSONHURST,2302 80TH STREET,1410000,2/25/20
BOROUGH PARK,1846 58TH STREET,1310000,2/25/20
BOROUGH PARK,5911 21ST AVENUE,1050000,2/25/20
BOROUGH PARK,1553 64TH STREET,1010000,2/25/20
BOROUGH PARK,2233 65TH STREET,900000,2/25/20
BOROUGH PARK,2235 65TH STREET,900000,2/25/20
BRIGHTON BEACH,"1311 BRIGHTWATER AVE, 4M",400000,2/25/20
BRIGHTON BEACH,"102 WEST END AVENUE, 3G",995000,2/25/20
BRIGHTON BEACH,"102 WEST END AVENUE, PS38",995000,2/25/20
BROWNSVILLE,814 SARATOGA AVENUE,10,2/25/20
BUSHWICK,154 CENTRAL AVE,997500,2/25/20
CANARSIE,1218 EAST 89TH,580320,2/25/20
CANARSIE,2 PAERDEGAT 3RD STREET,1025000,2/25/20
CANARSIE,"999 EAST 108TH STREET, 1C",63000,2/25/20
CARROLL GARDENS,409 UNION STREET,2925000,2/25/20
CYPRESS HILLS,223 JAMAICA AVENUE,1040000,2/25/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 3I",718055,2/25/20
DOWNTOWN-METROTECH,"150 MYRTLE AVENUE, 311",680000,2/25/20
EAST NEW YORK,70 FORBELL STREET,515000,2/25/20
EAST NEW YORK,409 BRADFORD STREET,560000,2/25/20
EAST NEW YORK,177 ATKINS AVE,726000,2/25/20
EAST NEW YORK,458 DREW STREET,810000,2/25/20
FLATBUSH-EAST,759 EAST 45TH ST,667200,2/25/20
FLATBUSH-EAST,1735 ALBANY AVENUE,649000,2/25/20
FLATBUSH-EAST,193 EAST 40,753505,2/25/20
FLATBUSH-EAST,"745 EAST 31ST STREET, 5E",299000,2/25/20
FLATBUSH-EAST,"3311 NEWKIRK AVENUE, 5B",590585,2/25/20
FORT GREENE,"191 WILLOUGHBY STREET, 3J",585000,2/25/20
GOWANUS,"488 4 AVENUE, 9",1300000,2/25/20
GRAVESEND,216 BAY 40TH STREET,1275000,2/25/20
GREENPOINT,"99 KINGSLAND AVENUE, 207",555000,2/25/20
GREENPOINT,"21 INDIA STREET, 32J",1172500,2/25/20
MADISON,1953 EAST 14TH STREET,1980000,2/25/20
MARINE PARK,1641 RYDER STREET,750000,2/25/20
MARINE PARK,3614 AVENUE T,735000,2/25/20
MARINE PARK,"2309 GERRITSEN AVENUE, 3D",525000,2/25/20
OCEAN PARKWAY-NORTH,1624 EAST 5TH STREET,1500000,2/25/20
OCEAN PARKWAY-NORTH,1780 EAST 2ND STREET,1600000,2/25/20
OCEAN PARKWAY-NORTH,1601 EAST 7TH STREET,2775000,2/25/20
OCEAN PARKWAY-NORTH,"403 AVENUE C, 3B",507000,2/25/20
PARK SLOPE,"302 GARFIELD PLACE, 4",1026000,2/25/20
PARK SLOPE,"47 PLAZA STREET WEST, 4C",1800000,2/25/20
SHEEPSHEAD BAY,"3105 AVENUE V, 3G",189000,2/25/20
SHEEPSHEAD BAY,"2212 BRIGHAM STREET, 2G",210000,2/25/20
SHEEPSHEAD BAY,"2736 OCEAN AVENUE, 6A",645000,2/25/20
SUNSET PARK,153A 31ST STREET,1276771,2/25/20
SUNSET PARK,"655 41ST STREET, 4A",710000,2/25/20
WILLIAMSBURG-CENTRAL,"764 KENT AVENUE, 2C",750000,2/25/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING AVENUE, 3R",1242265,2/25/20
WILLIAMSBURG-EAST,141 AINSLIE STREET,1850000,2/25/20
WINDSOR TERRACE,"35 MCDONALD AVENUE, 4B",1100000,2/25/20
WINDSOR TERRACE,"35 MCDONALD AVENUE, P6",1100000,2/25/20
BAY RIDGE,566 OVINGTON AVENUE,1200000,2/26/20
BAY RIDGE,"880 68TH STREET, 2K",387262,2/26/20
BEDFORD STUYVESANT,"511 HERKIMER ST, 1",375000,2/26/20
BEDFORD STUYVESANT,"511 HERKIMER ST, 6",605000,2/26/20
BEDFORD STUYVESANT,590 MYRTLE AVE,3000000,2/26/20
BEDFORD STUYVESANT,594 MYRTLE AVE,1500000,2/26/20
BERGEN BEACH,2064 EAST 72ND STREET,10,2/26/20
BOERUM HILL,143 BOND STREET,3250000,2/26/20
BOROUGH PARK,1574 55TH STREET,1400000,2/26/20
BOROUGH PARK,"1230 46TH STREET, 3",220000,2/26/20
BOROUGH PARK,"4910 17 AVE, 5F",410000,2/26/20
BRIGHTON BEACH,"35 SEACOAST TERRACE, 4F",435000,2/26/20
BROOKLYN HEIGHTS,"50 BRIDGE PARK DRIVE, 12A",6980104,2/26/20
BROWNSVILLE,180 HERZL STREET,835000,2/26/20
BUSHWICK,94 WILSON AVENUE,1975000,2/26/20
BUSHWICK,"64 STANHOPE STREET, 2A",619000,2/26/20
BUSHWICK,199 TROUTMAN STREET,1975000,2/26/20
CANARSIE,1141 EAST 98TH STREET,507500,2/26/20
CANARSIE,1483 EAST 104TH,500000,2/26/20
CANARSIE,659 EAST 87TH STREET,487728,2/26/20
CANARSIE,944 EAST 94TH STREET,530000,2/26/20
CANARSIE,950 EAST 94TH STREET,699000,2/26/20
CARROLL GARDENS,"191 LUQUER STREET, 4A",1615000,2/26/20
CLINTON HILL,"185 HALL STREET, 316",425000,2/26/20
CROWN HEIGHTS,1051 CARROLL STREET,1400000,2/26/20
CROWN HEIGHTS,"757 BERGEN STREET, 3",1703177,2/26/20
CROWN HEIGHTS,"1214 PACIFIC STREET, 2",899000,2/26/20
CROWN HEIGHTS,897 DEAN STREET,4800000,2/26/20
CROWN HEIGHTS,893 DEAN STREET,4800000,2/26/20
CROWN HEIGHTS,N/A DEAN STREET,4800000,2/26/20
CROWN HEIGHTS,N/A DEAN STREET,4800000,2/26/20
CROWN HEIGHTS,N/A DEAN STREET,4800000,2/26/20
DOWNTOWN-METROTECH,"195 ADAMS STREET, 16B",640000,2/26/20
EAST NEW YORK,976 DUMONT AVENUE,10,2/26/20
EAST NEW YORK,737 SHEFFIELD AVENUE,575000,2/26/20
EAST NEW YORK,733 SHEFFIELD AVENUE,575000,2/26/20
FLATBUSH-CENTRAL,509 STRATFORD ROAD,2200000,2/26/20
FLATBUSH-CENTRAL,"9 ARGYLE ROAD, 4B",365000,2/26/20
FLATBUSH-CENTRAL,"40 CLARKSON AVENUE, 4L",530000,2/26/20
FLATBUSH-EAST,614 EAST 49TH STREET,467000,2/26/20
FLATBUSH-EAST,3212 AVENUE K,725000,2/26/20
FLATBUSH-EAST,299 EAST 38TH STREET,248000,2/26/20
FLATBUSH-EAST,160 EAST 32ND STREET,945000,2/26/20
FLATBUSH-LEFFERTS GARDEN,252 FENIMORE STREET,1800000,2/26/20
FLATBUSH-NORTH,240 EAST 48 STREET,20000,2/26/20
FLATBUSH-NORTH,259 EAST 49TH STREET,679000,2/26/20
GRAVESEND,"2483 WEST 16TH STREET, 9H",445000,2/26/20
MADISON,"3165 NOSTRAND AVENUE, 1K",368000,2/26/20
MANHATTAN BEACH,242 COLERIDGE STREET,1365000,2/26/20
MARINE PARK,"2260 BURNETT STREET, 6G",180000,2/26/20
OCEAN HILL,1476 BROADWAY,1400000,2/26/20
OCEAN HILL,708 DECATUR STREET,10,2/26/20
OCEAN HILL,218 SUMPTER STREET,1195000,2/26/20
PARK SLOPE,26 PARK PLACE,975000,2/26/20
PARK SLOPE,"427 15TH STREET, 3C",695000,2/26/20
PARK SLOPE,"300 8 AVENUE, 5G",248430,2/26/20
PARK SLOPE,"343 4 AVENUE, 3K",685000,2/26/20
PARK SLOPE SOUTH,372 13TH STREET,2300000,2/26/20
PROSPECT HEIGHTS,"521 DEAN ST, 5",750000,2/26/20
SHEEPSHEAD BAY,"1917 AVENUE X, 4",396000,2/26/20
WILLIAMSBURG-CENTRAL,"525 KENT AVE, 5A",600000,2/26/20
WILLIAMSBURG-NORTH,"142 NORTH 8TH STREET, 8C",1700000,2/26/20
WILLIAMSBURG-NORTH,"147 HOPE STREET, 4G",830000,2/26/20
WILLIAMSBURG-NORTH,"260 NORTH 9TH STREET, G4",100000,2/26/20
WILLIAMSBURG-SOUTH,"440 KENT AVENUE, 6A",1405000,2/26/20
WILLIAMSBURG-SOUTH,"404 GRAND STREET, 3",1065000,2/26/20
WYCKOFF HEIGHTS,1401 HANCOCK STREET,999999,2/26/20
BAY RIDGE,133 GELSTON AVE,844000,2/27/20
BAY RIDGE,"130 BAY RIDGE PARKWAY, 4H",230000,2/27/20
BAY RIDGE,"9040 FORT HAMILTON PARKWAY, 2K",420000,2/27/20
BAY RIDGE,"9201 SHORE ROAD, B703",442500,2/27/20
BEDFORD STUYVESANT,539 LEXINGTON AVENUE,620000,2/27/20
BEDFORD STUYVESANT,439 CLASSON AVENUE,1590000,2/27/20
BEDFORD STUYVESANT,289 HERKIMER STREET,1310000,2/27/20
BEDFORD STUYVESANT,794 BEDFORD AVENUE,1500000,2/27/20
BENSONHURST,2107 73RD STREET,1560000,2/27/20
BOROUGH PARK,1714 50TH STREET,850000,2/27/20
BOROUGH PARK,5815 21ST AVENUE,925000,2/27/20
BOROUGH PARK,6110 18TH AVENUE,1800000,2/27/20
BOROUGH PARK,1125 53RD STREET,1550000,2/27/20
BRIGHTON BEACH,"40 OCEANA DRIVE WEST, 12",86000,2/27/20
BROOKLYN HEIGHTS,"360 FURMAN STREET, T12",85000,2/27/20
BUSHWICK,96 HIMROD STREET,3456667,2/27/20
BUSHWICK,98 HIMROD STREET,3456667,2/27/20
BUSHWICK,100 HIMROD STREET,3456667,2/27/20
CANARSIE,36 PAERDEGAT 10 STREET,625000,2/27/20
CARROLL GARDENS,671 HENRY STREET,2100000,2/27/20
CARROLL GARDENS,"529 COURT STREET, P3",77500,2/27/20
CARROLL GARDENS,"529 COURT STREET, P8",77500,2/27/20
CARROLL GARDENS,"529 COURT STREET, P9",77500,2/27/20
CARROLL GARDENS,"529 COURT STREET, P10",77500,2/27/20
CARROLL GARDENS,"529 COURT STREET, P11",77500,2/27/20
CARROLL GARDENS,"529 COURT STREET, P12",77500,2/27/20
CARROLL GARDENS,"529 COURT STREET, P13",77500,2/27/20
CLINTON HILL,388 CLINTON AVENUE,4200000,2/27/20
CLINTON HILL,"195 WILLOUGHBY AVENUE, 1417",275000,2/27/20
CLINTON HILL,"118 CLINTON AVENUE, 1B",849000,2/27/20
COBBLE HILL,"78 AMITY STREET, PHC",3100000,2/27/20
COBBLE HILL,"78 AMITY STREET, PU5",3100000,2/27/20
COBBLE HILL-WEST,"100 SUMMIT STREET, 1",1800000,2/27/20
CONEY ISLAND,"460 NEPTUNE AVENUE, 22L",390000,2/27/20
CONEY ISLAND,"501 SURF AVENUE, 9K",800000,2/27/20
CONEY ISLAND,"501 SURF AVENUE, 100",800000,2/27/20
CROWN HEIGHTS,1712 DEAN STREET,103333,2/27/20
CROWN HEIGHTS,"757 BERGEN STREET, 2",1374638,2/27/20
CROWN HEIGHTS,"808A BERGEN STREET, 2",1150403,2/27/20
CYPRESS HILLS,18 DANFORTH STREET,875000,2/27/20
DOWNTOWN-FULTON FERRY,"28 OLD FULTON STREET, 7C",1335000,2/27/20
DOWNTOWN-METROTECH,"235 ADAMS STREET, 15H",1285000,2/27/20
DOWNTOWN-METROTECH,"235 ADAMS STREET, 15G",1285000,2/27/20
DYKER HEIGHTS,1360 79TH STREET,896000,2/27/20
DYKER HEIGHTS,1253 83RD STREET,1320000,2/27/20
EAST NEW YORK,495 MILFORD STREET,961607,2/27/20
EAST NEW YORK,939 ELDERT LANE,15000,2/27/20
EAST NEW YORK,1076 CRESCENT STREET,915000,2/27/20
FLATBUSH-CENTRAL,"1110 CATON AVE, 12C",715000,2/27/20
FLATBUSH-CENTRAL,"2601 GLENWOOD ROAD, 4F",350000,2/27/20
FLATBUSH-EAST,216 EAST 38TH STREET,610000,2/27/20
FLATBUSH-EAST,535 EAST 43RD STREET,790000,2/27/20
FLATBUSH-EAST,"282 EAST 35TH STREET, 6S",264000,2/27/20
FLATBUSH-NORTH,1093 CLARKSON AVENUE,780000,2/27/20
FLATBUSH-NORTH,"310 LENOX ROAD, 3F",430000,2/27/20
GERRITSEN BEACH,60 CELESTE COURT,730000,2/27/20
GERRITSEN BEACH,N/A CELESTE COURT,730000,2/27/20
GRAVESEND,1771 WEST 11TH STREET,979000,2/27/20
GRAVESEND,1772 WEST 5TH STREET,999999,2/27/20
GRAVESEND,8648 26TH AVENUE,745000,2/27/20
GRAVESEND,2023 WEST 13TH STREET,1294000,2/27/20
GREENPOINT,"84 ENGERT AVENUE, 8A",1537500,2/27/20
GREENPOINT,"84 ENGERT AVENUE, P6",1537500,2/27/20
KENSINGTON,52 KERMIT PLACE,457075,2/27/20
MADISON,"3395 NOSTRAND AVENUE, #2M",240000,2/27/20
MARINE PARK,3007 AVENUE R,755000,2/27/20
MARINE PARK,3619 QUENTIN ROAD,590000,2/27/20
MIDWOOD,1120 EAST 22ND STREET,1800000,2/27/20
MIDWOOD,1341 EAST 22ND STREET,800000,2/27/20
MIDWOOD,"1924 OCEAN AVENUE, 2B",647000,2/27/20
MIDWOOD,"1924 OCEAN AVENUE, 3P",647000,2/27/20
NAVY YARD,"45 NORTH ELLIOTT PLACE, 6E",55375,2/27/20
OCEAN HILL,1018 PUTNAM AVENUE,10,2/27/20
OCEAN HILL,680 DECATUR STREET,1485000,2/27/20
OCEAN HILL,"366 BAINBRIDGE STREET, 2",599000,2/27/20
OCEAN PARKWAY-NORTH,"599 EAST 7TH STREET, 1D",365000,2/27/20
OCEAN PARKWAY-NORTH,"421 AVENUE P, 203",1201012,2/27/20
OCEAN PARKWAY-NORTH,"421 AVENUE P, P-39",1201012,2/27/20
OLD MILL BASIN,1452 EAST 58 STREET,600000,2/27/20
OLD MILL BASIN,1520 EAST 55TH STREET,460000,2/27/20
OLD MILL BASIN,"2022 EAST 53RD STREET, 2D",430000,2/27/20
PARK SLOPE,"18 GARFIELD PLACE, 1A",2150000,2/27/20
PARK SLOPE,"20 GARFIELD PLACE, 4B",1395000,2/27/20
PARK SLOPE,"105 8 AVENUE, 2",2625500,2/27/20
PROSPECT HEIGHTS,"394 LINCOLN PLACE, C2",687500,2/27/20
PROSPECT HEIGHTS,"418 ST. JOHNS PLACE, 4C",1045000,2/27/20
RED HOOK,"160 IMLAY STREET, 5A2",779784,2/27/20
SHEEPSHEAD BAY,2311 EAST 29TH STREET,830000,2/27/20
SHEEPSHEAD BAY,2535 EAST 27TH STREET,997000,2/27/20
SHEEPSHEAD BAY,"50 SHORE BOULEVARD, 2B",245490,2/27/20
SUNSET PARK,"673 41ST STREET, 15",300000,2/27/20
WILLIAMSBURG-EAST,74 DEVOE STREET,4400000,2/27/20
WILLIAMSBURG-EAST,512 GRAND STREET,1850000,2/27/20
WILLIAMSBURG-NORTH,"149-151 GRAND STREET, 4",420000,2/27/20
